Time	resetn	IF_pc	IF_inst	ID_pc	EXE_pc	MEM_pc	WB_pc	cpu_5_valid	HI_data	LO_data	rf_data	mem_data
                5000	0	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	000xxxxx	xxxxxxxx	xxxxxxxx	00000000	00000000
               15000	0	00000034	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
               25000	0	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
               35000	0	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
               45000	0	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
               55000	0	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
               65000	0	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
               75000	0	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
               85000	0	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
               95000	0	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
              105000	1	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	00000000	xxxxxxxx	xxxxxxxx	00000000	00000000
              115000	1	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	000f0000	xxxxxxxx	xxxxxxxx	00000000	00000000
              125000	1	00000034	24010001	xxxxxxxx	xxxxxxxx	xxxxxxxx	xxxxxxxx	000f0000	xxxxxxxx	xxxxxxxx	00000000	00000000
              135000	1	00000038	24010001	00000034	xxxxxxxx	xxxxxxxx	xxxxxxxx	000ff000	xxxxxxxx	xxxxxxxx	00000000	00000000
              145000	1	00000038	00011100	00000034	00000034	xxxxxxxx	xxxxxxxx	000f0f00	xxxxxxxx	xxxxxxxx	00000000	00000000
              155000	1	0000003c	00011100	00000038	00000034	00000034	xxxxxxxx	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              165000	1	0000003c	00411821	00000038	00000038	00000034	00000034	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              175000	1	00000040	00411821	0000003c	00000038	00000038	00000034	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              185000	1	00000040	00022082	0000003c	0000003c	00000038	00000038	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              195000	1	00000044	00022082	00000040	0000003c	0000003c	00000038	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              205000	1	00000044	28990005	00000040	00000040	0000003c	0000003c	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              215000	1	00000048	28990005	00000044	00000040	00000040	0000003c	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              225000	1	00000048	0721000e	00000044	00000044	00000040	00000040	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              235000	1	0000004c	0721000e	00000048	00000044	00000044	00000040	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              245000	1	0000004c	00642823	00000048	00000044	00000044	00000044	000ff00f	xxxxxxxx	xxxxxxxx	00000000	00000000
              255000	1	00000084	00642823	0000004c	00000048	00000044	00000044	000fff00	xxxxxxxx	xxxxxxxx	00000000	00000000
              265000	1	00000084	3c0c000c	0000004c	0000004c	00000048	00000044	000f0ff0	xxxxxxxx	xxxxxxxx	00000000	00000000
              275000	1	00000088	3c0c000c	00000084	0000004c	0000004c	00000048	000ff0ff	xxxxxxxx	xxxxxxxx	00000000	00000000
              285000	1	00000088	004cd007	00000084	00000084	0000004c	0000004c	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              295000	1	0000008c	004cd007	00000088	00000084	00000084	0000004c	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              305000	1	0000008c	275b0044	00000088	00000088	00000084	00000084	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              315000	1	00000090	275b0044	0000008c	00000088	00000088	00000084	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
              325000	1	00000090	0360f809	0000008c	0000008c	00000088	00000088	000f0f0f	xxxxxxxx	xxxxxxxx	00000000	00000000
              335000	1	00000094	0360f809	00000090	0000008c	0000008c	00000088	000ff0f0	xxxxxxxx	xxxxxxxx	00000000	00000000
