time_ps,cycle,resetn,IF_pc,ID_pc,EXE_pc,MEM_pc,WB_pc,IF_inst,cpu_5_valid,HI_data,LO_data,rf_data,mem_data
105000,1,1,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000
115000,2,1,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
125000,3,1,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
135000,4,1,00000038,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000
145000,5,1,00000038,00000034,00000034,xxxxxxxx,xxxxxxxx,8d090001,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000
155000,6,1,0000003c,00000038,00000034,00000034,xxxxxxxx,8d090001,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
165000,7,1,0000003c,00000038,00000038,00000034,00000034,ad090002,000f0f0f,xxxxxxxx,xxxxxxxx,00000000,00000000
175000,8,1,00000040,0000003c,00000038,00000038,00000034,ad090002,000ff0f0,xxxxxxxx,xxxxxxxx,00000000,00000000
185000,9,1,00000040,0000003c,00000038,00000038,00000038,fc000000,000ff00f,xxxxxxxx,xxxxxxxx,00000000,00000000
195000,10,1,00000000,0000003c,00000038,00000038,00000038,fc000000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
205000,11,1,00000000,0000003c,00000038,00000038,00000038,ac010000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000
215000,12,1,00000004,00000000,00000038,00000038,00000038,ac010000,000ff000,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
225000,13,1,00000004,00000000,00000000,00000038,00000038,ac020004,000f0f00,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
235000,14,1,00000008,00000004,00000000,00000000,00000038,ac020004,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
245000,15,1,00000008,00000004,00000004,00000000,00000000,ac030008,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
255000,16,1,0000000c,00000008,00000004,00000004,00000000,ac030008,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
265000,17,1,0000000c,00000008,00000008,00000004,00000004,ac04000c,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
275000,18,1,00000010,0000000c,00000008,00000008,00000004,ac04000c,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
285000,19,1,00000010,0000000c,0000000c,00000008,00000008,ac050010,000f0f0f,xxxxxxxx,xxxxxxxx,00000005,00000000
295000,20,1,00000014,00000010,0000000c,0000000c,00000008,ac050010,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
305000,21,1,00000014,00000010,00000010,0000000c,0000000c,ac060018,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
315000,22,1,00000018,00000014,00000010,00000010,0000000c,ac060018,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
325000,23,1,00000018,00000014,00000014,00000010,00000010,ac070070,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
335000,24,1,0000001c,00000018,00000014,00000014,00000010,ac070070,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
345000,25,1,0000001c,00000018,00000018,00000014,00000014,ac190074,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
355000,26,1,00000020,0000001c,00000018,00000018,00000014,ac190074,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
365000,27,1,00000020,0000001c,0000001c,00000018,00000018,ac0d0078,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
375000,28,1,00000024,00000020,0000001c,0000001c,00000018,ac0d0078,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
385000,29,1,00000024,00000020,00000020,0000001c,0000001c,40017000,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
395000,30,1,00000028,00000024,00000020,00000020,0000001c,40017000,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
405000,31,1,00000028,00000024,00000024,00000020,00000020,24210004,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
415000,32,1,0000002c,00000028,00000024,00000024,00000020,24210004,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
425000,33,1,0000002c,00000028,00000024,00000024,00000024,40817000,000ff00f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
435000,34,1,00000030,0000002c,00000028,00000024,00000024,40817000,000fff00,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
445000,35,1,00000030,0000002c,0000002c,00000028,00000024,42000018,000f0ff0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
455000,36,1,00000034,00000030,0000002c,0000002c,00000028,42000018,000ff0ff,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
465000,37,1,00000034,00000030,00000030,0000002c,0000002c,24080005,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
475000,38,1,00000038,00000034,00000030,00000030,0000002c,24080005,000ff0f0,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
485000,39,1,00000038,00000034,00000034,00000030,00000030,8d090001,000f0f0f,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
495000,40,1,0000003c,00000038,00000034,00000034,00000030,8d090001,000f0000,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
505000,41,1,0000003c,00000038,00000034,00000034,00000030,ad090002,000f0000,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
515000,42,1,00000040,0000003c,00000034,00000034,00000030,ad090002,000ff000,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000
