time_ps,resetn,IF_pc,ID_pc,EXE_pc,MEM_pc,WB_pc,IF_inst,inst_paddr,tlb_s0_found,tlb_s0_pfn,cpu_5_valid,HI_data,LO_data,rf_data,mem_data,dm_addr,dm_paddr,tlb_s1_found,tlb_s1_pfn,dm_wen,dm_wdata
5000,0,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000000,xxxxxxxx,0,00000,000xxxxx,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,x,xxxxxxxx
15000,0,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
25000,0,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
35000,0,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
45000,0,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
55000,0,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
65000,0,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
75000,0,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
85000,0,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
95000,0,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
105000,1,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,00000000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
115000,1,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
125000,1,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000034,0,00000,000f0000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
135000,1,00000038,00000034,xxxxxxxx,xxxxxxxx,xxxxxxxx,24080005,00000038,0,00000,000ff000,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
145000,1,00000038,00000034,00000034,xxxxxxxx,xxxxxxxx,8d090001,00000038,0,00000,000f0f00,xxxxxxxx,xxxxxxxx,00000000,00000000,xxxxxxxx,xxxxxxxx,0,00000,0,xxxxxxxx
