Time(dd),Time(hh:mm:ss),1st Value,1st Unit,2nd Value,2nd Unit,Count,Note
00,00:00:01,+0.3763E-1,V DC,-0.312E-5,A DC,#START#,00001#
00,00:00:01,+0.3761E-1,V DC,-0.311E-5,A DC,0000002,00002#
00,00:00:02,+0.3762E-1,V DC,-0.311E-5,A DC,0000003,00003#
00,00:00:03,+0.3766E-1,V DC,-0.313E-5,A DC,0000004,00004#
00,00:00:04,+0.3769E-1,V DC,-0.312E-5,A DC,0000005,00005#
00,00:00:05,+0.3770E-1,V DC,-0.313E-5,A DC,0000006,00006#
00,00:00:06,+0.3772E-1,V DC,-0.313E-5,A DC,0000007,00007#
00,00:00:06,+0.3773E-1,V DC,-0.313E-5,A DC,0000008,00008#
00,00:00:07,+0.3772E-1,V DC,-0.313E-5,A DC,0000009,00009#
00,00:00:08,+0.3770E-1,V DC,-0.313E-5,A DC,0000010,00010#
00,00:00:09,+0.3770E-1,V DC,-0.312E-5,A DC,0000011,00011#
00,00:00:10,+0.3771E-1,V DC,-0.313E-5,A DC,0000012,00012#
00,00:00:11,+0.3771E-1,V DC,-0.313E-5,A DC,0000013,00013#
00,00:00:11,+0.3772E-1,V DC,-0.313E-5,A DC,0000014,00014#
00,00:00:12,+0.3774E-1,V DC,-0.314E-5,A DC,0000015,00015#
00,00:00:13,+0.3772E-1,V DC,-0.313E-5,A DC,0000016,00016#
00,00:00:14,+0.3770E-1,V DC,-0.313E-5,A DC,0000017,00017#
00,00:00:15,+0.3771E-1,V DC,-0.313E-5,A DC,0000018,00018#
00,00:00:16,+0.3769E-1,V DC,-0.313E-5,A DC,0000019,00019#
00,00:00:16,+0.3770E-1,V DC,-0.312E-5,A DC,0000020,00020#
00,00:00:17,+0.3768E-1,V DC,-0.313E-5,A DC,0000021,00021#
00,00:00:18,+0.3767E-1,V DC,-0.313E-5,A DC,0000022,00022#
00,00:00:19,+0.3765E-1,V DC,-0.312E-5,A DC,0000023,00023#
00,00:00:20,+0.3762E-1,V DC,-0.312E-5,A DC,0000024,00024#
00,00:00:21,+0.3763E-1,V DC,-0.312E-5,A DC,0000025,00025#
00,00:00:21,+0.3764E-1,V DC,-0.312E-5,A DC,0000026,00026#
00,00:00:22,+0.3763E-1,V DC,-0.312E-5,A DC,0000027,00027#
00,00:00:23,+0.3764E-1,V DC,-0.312E-5,A DC,0000028,00028#
00,00:00:24,+0.3768E-1,V DC,-0.313E-5,A DC,0000029,00029#
00,00:00:25,+0.3769E-1,V DC,-0.313E-5,A DC,0000030,00030#
00,00:00:26,+0.3769E-1,V DC,-0.313E-5,A DC,0000031,00031#
00,00:00:26,+0.3765E-1,V DC,-0.313E-5,A DC,0000032,00032#
00,00:00:27,+0.3768E-1,V DC,-0.313E-5,A DC,0000033,00033#
00,00:00:28,+0.3768E-1,V DC,-0.312E-5,A DC,0000034,00034#
00,00:00:29,+0.3765E-1,V DC,-0.313E-5,A DC,0000035,00035#
00,00:00:30,+0.3763E-1,V DC,-0.314E-5,A DC,0000036,00036#
00,00:00:31,+0.21421E+0,V DC,-1.0466E-3,A DC,0000037,00037#
00,00:00:32,+0.27651E+0,V DC,-1.3831E-3,A DC,0000038,00038#
00,00:00:33,+0.28939E+0,V DC,-1.3667E-3,A DC,0000039,00039#
00,00:00:33,+0.28899E+0,V DC,-1.3646E-3,A DC,0000040,00040#
00,00:00:34,+0.28890E+0,V DC,-1.3604E-3,A DC,0000041,00041#
00,00:00:35,+0.28866E+0,V DC,-1.3569E-3,A DC,0000042,00042#
00,00:00:36,+0.28859E+0,V DC,-1.3562E-3,A DC,0000043,00043#
00,00:00:37,+0.28856E+0,V DC,-1.3575E-3,A DC,0000044,00044#
00,00:00:38,+0.28854E+0,V DC,-1.3532E-3,A DC,0000045,00045#
00,00:00:38,+0.28833E+0,V DC,-1.3511E-3,A DC,0000046,00046#
00,00:00:39,+0.28828E+0,V DC,-1.3518E-3,A DC,0000047,00047#
00,00:00:40,+0.28830E+0,V DC,-1.3515E-3,A DC,0000048,00048#
00,00:00:41,+0.28822E+0,V DC,-1.3508E-3,A DC,0000049,00049#
00,00:00:42,+0.28824E+0,V DC,-1.3508E-3,A DC,0000050,00050#
00,00:00:43,+0.28803E+0,V DC,-1.3459E-3,A DC,0000051,00051#
00,00:00:43,+0.28793E+0,V DC,-1.3437E-3,A DC,0000052,00052#
00,00:00:44,+0.28788E+0,V DC,-1.3436E-3,A DC,0000053,00053#
00,00:00:45,+0.28783E+0,V DC,-1.3428E-3,A DC,0000054,00054#
00,00:00:46,+0.28780E+0,V DC,-1.3432E-3,A DC,0000055,00055#
00,00:00:47,+0.28772E+0,V DC,-1.3411E-3,A DC,0000056,00056#
00,00:00:48,+0.28768E+0,V DC,-1.3421E-3,A DC,0000057,00057#
00,00:00:48,+0.28776E+0,V DC,-1.3430E-3,A DC,0000058,00058#
00,00:00:49,+0.28777E+0,V DC,-1.3438E-3,A DC,0000059,00059#
00,00:00:50,+0.28784E+0,V DC,-1.3461E-3,A DC,0000060,00060#
