Emoji,Context,Platform,UserAge,UserGender
😎,angry,Snapchat,47,Male
👍,love,Instagram,36,Male
😳,angry,Snapchat,51,Male
😂,confusion,Facebook,64,Male
🤣,celebration,Snapchat,56,Female
💔,confusion,Snapchat,45,Female
🤣,funny,Instagram,20,Female
😭,support,Facebook,29,Male
😘,angry,Twitter,53,Male
😏,angry,Instagram,38,Male
😳,love,Instagram,59,Female
😜,surprise,TikTok,62,Female
😊,funny,TikTok,61,Female
🙌,love,Facebook,27,Male
💕,happy,WhatsApp,17,Female
😇,cool,Snapchat,17,Male
😇,surprise,Instagram,40,Male
😎,confusion,Facebook,57,Female
🤩,cool,TikTok,17,Male
❤️,funny,Instagram,19,Female
💕,funny,Facebook,55,Female
😭,funny,Facebook,37,Male
🙌,happy,Twitter,60,Male
😢,support,Facebook,61,Female
😇,cool,TikTok,44,Female
🎉,sad,Facebook,37,Female
🙏,surprise,WhatsApp,33,Female
🤗,sad,Snapchat,60,Male
😔,sad,Twitter,58,Male
🥰,celebration,Snapchat,51,Female
😘,celebration,Instagram,17,Female
🙄,angry,Twitter,51,Female
😏,cool,Twitter,53,Female
🤔,confusion,Facebook,42,Male
😏,happy,WhatsApp,49,Female
🙏,cool,Facebook,16,Female
👍,celebration,TikTok,15,Female
👍,surprise,WhatsApp,14,Female
😂,celebration,TikTok,63,Male
😜,angry,Twitter,27,Male
🤣,angry,Twitter,51,Male
😇,surprise,WhatsApp,42,Male
🎉,cool,Facebook,50,Female
😏,cool,Facebook,50,Male
🤪,celebration,Twitter,37,Male
😏,support,Facebook,36,Female
😏,support,Twitter,37,Female
😢,sad,Twitter,53,Female
😭,support,TikTok,17,Male
😂,funny,Instagram,27,Male
❤️,celebration,WhatsApp,13,Female
😘,support,WhatsApp,40,Male
🤗,confusion,Instagram,15,Female
😂,celebration,Instagram,55,Female
😅,angry,Snapchat,40,Male
🙄,sad,Twitter,28,Female
🙌,funny,TikTok,36,Male
🤣,celebration,Snapchat,32,Male
👏,love,Twitter,16,Male
😜,celebration,WhatsApp,54,Female
🙌,love,Snapchat,37,Male
😡,love,Twitter,54,Male
😍,cool,TikTok,31,Female
😂,surprise,WhatsApp,51,Female
😂,confusion,WhatsApp,57,Female
😊,sad,Instagram,24,Female
😳,celebration,Instagram,13,Male
🙏,happy,Snapchat,62,Female
💕,support,Facebook,58,Female
🥰,sad,Facebook,62,Female
🙄,cool,WhatsApp,45,Female
🎉,angry,Twitter,43,Female
👍,cool,Snapchat,18,Male
😊,funny,Snapchat,63,Male
😘,cool,Snapchat,13,Female
😅,angry,Twitter,40,Male
🤩,funny,WhatsApp,64,Female
😇,celebration,Twitter,55,Male
